Name,Company,Price
"Laxfilé Portionsbitar 2-Pack",Änglamark,32
"Rapsolja",Zeta,3
"Fint Salt Med Jod Falksalt",Falksalt,2
"Svartpeppar Grovmalen",Kockens,49
"Matlagningsgrädde",Kelda,5
"Chilisås",Felix,4
"Soltorkade Tomater",Matric,15
"Hackad Spenat",Änglamark,3
"Fiskbuljong",Knorr,17
"Potatis Fast",Änglamark,2
"Morötter",Kl. 1 Sverige,1
"Palsternacka",Kl. 1 Sverige,3
"Rödlök",Kl. 1 Holland,2
"Paprikapulver",Santa Maria,53
"Kycklingbröstfilé EKO",Kronfågel Bosarp,24
"Lufttorkad Skinka",Grilstad,30
"Broccoli",Kl. 1 Spanien,6
"Paprika Röd",Kl. 1 Holland,14
"Persilja",Änglamark,21
"Vitlök",Kl. 1 Kina,8
"Basilika",Änglamark,21
"Parmigiano Reggiano 14 Mån",Zeta,37
"Lök Gul",Kl. 1 Sverige,1
"Brysselkål",Lantgården,3
"Timjan",Kockens,132
"Olivolja Classico",Zeta,16
"Fläskkotlett",Kl. 1 Sverige,10
"Vindruvor Röda",Kl. 1 Sydafrika,6
"Senapsfrö Gult",Santa Maria,28
"Kikärter",Gogreen,5
"Turkisk Yoghurt 10%",Salakis,3
"Tomat",Kl. 1 Holland,3
"Cannellinibönor Naturella EKO",Zeta,20
"Grönsaksbuljong",Knorr,17
"Tortilla Original Medium",Santa Maria,4
"Creme Fraiche",Änglamark,6
"Sambal Oelek",Lucullus,11
"Mozzarella",Zeta,14
